File,Heading,Heading-Label,Chapter,Chapter-Label,Article,Article-Label,Item,Description,Year,Amount
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,,Temporary staff holding a post provided for in the e,2011,1.1242379E7
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,,Temporary staff holding a post provided for in the e,2012,1.3626E7
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,,Temporary staff holding a post provided for in the e,2013,1.471E7
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,,Other Staff,2011,6862672.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,,Other Staff,2012,6690000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,,Other Staff,2013,7090000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,,Employer's social security contributions for tempora,2011,607674.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,,Employer's social security contributions for tempora,2012,662000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,,Employer's social security contributions for tempora,2013,681000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,,Miscellaneous allowances and grants for temporary a,2011,259087.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,,Miscellaneous allowances and grants for temporary a,2012,265000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,,Miscellaneous allowances and grants for temporary a,2013,275000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-115,Overtime,,Overtime,2011,11632.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-115,Overtime,,Overtime,2012,12000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-115,Overtime,,Overtime,2013,12000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,,Allowances and expenses on entering and leaving the,2011,290801.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,,Allowances and expenses on entering and leaving the,2012,135000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,,Allowances and expenses on entering and leaving the,2013,202000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-119,Salary Weightings,,Salary weightings,2011,0.0
2013.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,,Recruitment,2011,166778.0
2013.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,,Recruitment,2012,114000.0
2013.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,,Recruitment,2013,167000.0
2013.csv,A-1,Staff,A-13,Administrative Missions,A-130,Administrative Missions,,Administrative missions,2011,600000.0
2013.csv,A-1,Staff,A-13,Administrative Missions,A-130,Administrative Missions,,Administrative missions,2012,500000.0
2013.csv,A-1,Staff,A-13,Administrative Missions,A-130,Administrative Missions,,Administrative missions,2013,485000.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-141,Medical Service,,Medical Service,2011,4000.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-141,Medical Service,,Medical Service,2012,57000.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-141,Medical Service,,Medical Service,2013,60000.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-143,Other Expenditure,,Other expenditure,2011,1500.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-143,Other Expenditure,,Other expenditure,2012,4000.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-143,Other Expenditure,,Other expenditure,2013,4000.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-150,Training and Information of Staff,,Training and information of staff,2011,220811.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-150,Training and Information of Staff,,Training and information of staff,2012,350000.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-150,Training and Information of Staff,,Training and information of staff,2013,400000.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,,Supplementary services,2011,259560.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,,Supplementary services,2012,375000.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,,Supplementary services,2013,445000.0
2013.csv,A-1,Staff,A-16,Social Welfare,A-160,Special Assistance Grants,,Special assistance grants,2011,0.0
2013.csv,A-1,Staff,A-16,Social Welfare,A-160,Special Assistance Grants,,Special assistance grants,2013,10000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-200,Rent,,Rent,2011,2699195.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-200,Rent,,Rent,2012,2930000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-200,Rent,,Rent,2013,3150000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-201,Insurance,,Insurance,2011,11718.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-201,Insurance,,Insurance,2012,10000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-201,Insurance,,Insurance,2013,16000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-202,"Water, Gas, Electricity and Heating",,"Water, gas, electricity & heating",2011,115000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-202,"Water, Gas, Electricity and Heating",,"Water, gas, electricity & heating",2012,100000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-202,"Water, Gas, Electricity and Heating",,"Water, gas, electricity & heating",2013,150000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,,Cleaning & Maintenance,2011,728022.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,,Cleaning & Maintenance,2012,750000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,,Cleaning & Maintenance,2013,940000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-204,Furnishing of Premises,,Furnishing of premises,2011,211917.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-204,Furnishing of Premises,,Furnishing of premises,2012,10000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-204,Furnishing of Premises,,Furnishing of premises,2013,10000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-209,Other Expenditure,,Miscellaneous premises expenditure,2011,122000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-209,Other Expenditure,,Miscellaneous premises expenditure,2012,5000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-209,Other Expenditure,,Miscellaneous premises expenditure,2013,500000.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,,Costs of equipment and data processing related expe,2011,2745762.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,,Costs of equipment and data processing related expe,2012,3692000.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,,Costs of equipment and data processing related expe,2013,1975000.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-211,Telecommunication,,Telecommunication,2011,733000.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-211,Telecommunication,,Telecommunication,2012,425000.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-211,Telecommunication,,Telecommunication,2013,425000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-220,Technical Equipment and Installations,,Technical equipment & installations,2011,4661.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-220,Technical Equipment and Installations,,Technical equipment & installations,2012,15000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-220,Technical Equipment and Installations,,Technical equipment & installations,2013,15000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-221,Furniture,,Furniture,2011,55000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-221,Furniture,,Furniture,2012,20000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-221,Furniture,,Furniture,2013,20000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,,Transport equipment,2011,26190.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,,Transport equipment,2012,15000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,,Transport equipment,2013,111000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-225,Documentation and Library Expenditure,,Documentation and library expenditure,2011,17410.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-225,Documentation and Library Expenditure,,Documentation and library expenditure,2012,30000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-225,Documentation and Library Expenditure,,Documentation and library expenditure,2013,18100.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-230,Stationary and Office Supplies,,Stationary & office supplies,2011,129848.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-230,Stationary and Office Supplies,,Stationary & office supplies,2012,120000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-230,Stationary and Office Supplies,,Stationary & office supplies,2013,70000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,,Miscellaneous administrative expenditure,2011,488318.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,,Miscellaneous administrative expenditure,2012,400000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,,Miscellaneous administrative expenditure,2013,410000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-232,Financial Charges,,Financial charges,2011,10000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-232,Financial Charges,,Financial charges,2012,5000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-232,Financial Charges,,Financial charges,2013,10000.0
