Item,Description,Year,Amount
110,Temporary staff holding a post provided for in the establishment plan,2007 N2,3612000
110,Temporary staff holding a post provided for in the establishment plan,Prelim 2008,5400000
110,Temporary staff holding a post provided for in the establishment plan,2008,6460000
110,Temporary staff holding a post provided for in the establishment plan,Amending 2008,1170000
110,Temporary staff holding a post provided for in the establishment plan,2008 N1,7630000
1100,Basic salary,2007 N2,2834000
1100,Basic salary,Prelim 2008,4354000
1100,Basic salary,2008,5300000
1100,Basic salary,Amending 2008,926000
1100,Basic salary,2008 N1,6226000
1101,Family allowances,2007 N2,339000
1101,Family allowances,Prelim 2008,471000
1101,Family allowances,2008,520000
1101,Family allowances,Amending 2008,113000
1101,Family allowances,2008 N1,633000
1102,Expatriation and foreign-residence allowances,2007 N2,439000
1102,Expatriation and foreign-residence allowances,Prelim 2008,575000
1102,Expatriation and foreign-residence allowances,2008,640000
1102,Expatriation and foreign-residence allowances,Amending 2008,131000
1102,Expatriation and foreign-residence allowances,2008 N1,771000
111,Other staff,2007 N2,3494500
111,Other staff,Prelim 2008,3700000
111,Other staff,2008,4460000
111,Other staff,Amending 2008,288000
111,Other staff,2008 N1,4748000
1110,Auxiliary staff,2007 N2,309000
1111,Contract staff,2007 N2,733500
1111,Contract staff,Prelim 2008,900000
1111,Contract staff,2008,1120000
1111,Contract staff,Amending 2008,288000
1111,Contract staff,2008 N1,1408000
1112,Seconded national experts,2007 N2,2452000
1112,Seconded national experts,Prelim 2008,2800000
1112,Seconded national experts,2008,3340000
1112,Seconded national experts,2008 N1,3340000
113,Employer's social security contributions for temporary agents,2007 N2,192000
113,Employer's social security contributions for temporary agents,Prelim 2008,253000
113,Employer's social security contributions for temporary agents,2008,299000
113,Employer's social security contributions for temporary agents,Amending 2008,52000
113,Employer's social security contributions for temporary agents,2008 N1,351000
1130,Insurance against sickness,2007 N2,113000
1130,Insurance against sickness,Prelim 2008,152000
1130,Insurance against sickness,2008,180000
1130,Insurance against sickness,Amending 2008,32000
1130,Insurance against sickness,2008 N1,212000
1131,Insurance against accidents and occupational disease,2007 N2,31000
1131,Insurance against accidents and occupational disease,Prelim 2008,40000
1131,Insurance against accidents and occupational disease,2008,46000
1131,Insurance against accidents and occupational disease,Amending 2008,8000
1131,Insurance against accidents and occupational disease,2008 N1,54000
1132,Insurance against unemployment,2007 N2,48000
1132,Insurance against unemployment,Prelim 2008,61000
