item,description,comittment 2011,payment 2011,2012 N2,2013
Item,Description,Total use of ,commitment ,appropriations ,2011,Total use of ,payment ,appropriations ,2011,Budget 2012 N2,Budget 2013
A-110,Temporary staff holding a post provided for in the e,11 242 379 ,11 242 379 ,13 626 000 ,14 710 000 
A-111,Other Staff,6 862 672 ,6 841 527 ,6 690 000 ,7 090 000 
A-113,Employer's social security contributions for tempora, 607 674 , 607 674 , 662 000 , 681 000 
A-114,Miscellaneous allowances and grants for temporary a, 259 087 , 259 087 , 265 000 , 275 000 
A-115,Overtime, 11 632 , 11 632 , 12 000 , 12 000 
A-118,Allowances and expenses on entering and leaving the, 290 801 , 289 701 , 135 000 , 202 000 
A-119,Salary weightings,0 ,0 ,-2 240 000 ,-2 900 000 ,A-11,Staff in active employment,19 274 245 ,19 252 000 ,19 150 000 ,20 070 000 
A-120,Recruitment, 166 778 , 141 091 , 114 000 , 167 000 ,A-12,Recruitment, 166 778 , 141 091 , 114 000 , 167 000 
A-130,Administrative missions, 600 000 , 485 472 , 500 000 , 485 000 ,A-13,Administrative missions, 600 000 , 485 472 , 500 000 , 485 000 
A-141,Medical Service, 4 000 ,  381 , 57 000 , 60 000 
A-143,Other expenditure, 1 500 ,  400 , 4 000 , 4 000 ,A-14,Sociomedical infrastructure, 5 500 ,  781 , 61 000 , 64 000 
A-150,Training and information of staff, 220 811 , 114 485 , 350 000 , 400 000 
A-151,Supplementary services, 259 560 , 236 389 , 375 000 , 445 000 ,A-15,Other staff related expenditure, 480 371 , 350 874 , 725 000 , 845 000 
A-160,Special assistance grants,0 ,0 ,                p.m., 10 000 ,A-16,Social welfare,0 ,0 ,                p.m., 10 000 ,20 526 894 ,20 230 218 ,20 550 000 ,21 641 000 
A-200,Rent,2 699 195 ,2 699 195 ,2 930 000 ,3 150 000 
A-201,Insurance, 11 718 , 11 718 , 10 000 , 16 000 
A-202,"Water, gas, electricity & heating", 115 000 , 89 590 , 100 000 , 150 000 
A-203,Cleaning & Maintenance, 728 022 , 679 006 , 750 000 , 940 000 
A-204,Furnishing of premises, 211 917 , 136 368 , 10 000 , 10 000 
A-208,Other expenditure,0 ,0                  p.m.,                p.m.
A-209,Miscellaneous premises expenditure, 122 000 , 121 138 , 5 000 , 500 000 ,A-20,Rental of building and associated expenditure,3 887 853 ,3 737 015 ,3 805 000 ,4 766 000 
A-210,Costs of equipment and data processing related expe,2 745 762 , 988 499 ,3 692 000 ,1 975 000 
A-211,Telecommunication, 733 000 , 643 415 , 425 000 , 425 000 ,A-21,Data processing & telecommunications,3 478 762 ,1 631 915 ,4 117 000 ,2 400 000 
A-220,Technical equipment & installations, 4 661 , 4 661 , 15 000 , 15 000 
A-221,Furniture, 55 000 , 48 035 , 20 000 , 20 000 
A-223,Transport equipment, 26 190 , 15 363 , 15 000 , 111 000 
A-225,Documentation and library expenditure, 17 410 , 13 773 , 30 000 , 18 100 ,A-22,Movable property and associated expenditure, 103 261 , 81 832 , 80 000 , 164 100 
A-230,Stationary & office supplies, 129 848 , 110 014 , 120 000 , 70 000 
A-231,Miscellaneous administrative expenditure, 488 318 , 437 512 , 400 000 , 410 000 
A-232,Financial charges, 10 000 , 8 902 , 5 000 , 10 000 ,Chapter Article,Item,Description,Total use of ,commitment ,appropriations ,2011,Total use of ,payment ,appropriations ,2011,Budget 2012 N2,Budget 2013
A-233,Legal expenditure and damages, 51 807 , 35 152 , 30 000 , 30 000 
A-234,Auditing, 139 296 , 139 296 , 10 000 , 10 000 
A-235,Security of buildings and persons, 476 143 , 457 006 , 120 000 , 103 000 
A-236,Entertainment & representation expenses, 9 062 , 7 362 , 35 000 , 35 000 ,A-23,Current Administrative expenditure,1 304 474 ,1 195 244 , 720 000 , 668 000 
A-240,Postal and delivery expenditure, 121 304 , 97 603 , 100 000 , 160 000 ,A-24,Postal expenditure, 121 304 , 97 603 , 100 000 , 160 000 
A-250,Management Board meetings, 403 322 , 295 911 , 500 000 , 550 000 
